common_name,date,prop_pop
American Avocet,2018-01-04,0
American Avocet,2018-01-11,0
American Avocet,2018-01-18,0
American Avocet,2018-01-25,0
American Avocet,2018-02-01,0
American Avocet,2018-02-08,0
American Avocet,2018-02-15,0
American Avocet,2018-02-22,0
American Avocet,2018-03-01,0
American Avocet,2018-03-08,0
American Avocet,2018-03-15,0
American Avocet,2018-03-22,1.5569188065168727e-4
American Avocet,2018-03-29,7.282638410591844e-4
American Avocet,2018-04-05,0.002354838680674004
American Avocet,2018-04-12,0.011051085236096813
American Avocet,2018-04-19,0.02770768860943014
American Avocet,2018-04-26,0.0323331519305666
American Avocet,2018-05-03,0.025363297147192123
American Avocet,2018-05-10,0.019666441459775516
American Avocet,2018-05-17,0.015297864149867564
American Avocet,2018-05-24,0.015034905146409113
American Avocet,2018-05-31,0.01472439096617345
American Avocet,2018-06-07,0.01530562121277696
American Avocet,2018-06-14,0.020854643821220483
American Avocet,2018-06-21,0.03256238048884092
American Avocet,2018-06-28,0.034221209489351825
American Avocet,2018-07-06,0.03275141587250584
American Avocet,2018-07-13,0.031094975625222145
American Avocet,2018-07-20,0.029076208277461633
American Avocet,2018-07-27,0.03086589421934281
American Avocet,2018-08-03,0.027108231347553066
American Avocet,2018-08-10,0.022604355592789175
American Avocet,2018-08-17,0.02768056845772524
American Avocet,2018-08-24,0.039758438529634274
American Avocet,2018-08-31,0.0459618772972095
American Avocet,2018-09-07,0.04530008357207964
American Avocet,2018-09-14,0.04001824991317263
American Avocet,2018-09-21,0.02597223356268633
American Avocet,2018-09-28,0.012871922228438004
American Avocet,2018-10-05,0.00857403168477559
American Avocet,2018-10-12,0.0029239860162860003
American Avocet,2018-10-19,0.002170212681738853
American Avocet,2018-10-26,0.0019463724948211025
American Avocet,2018-11-02,0.0014273489607350223
American Avocet,2018-11-09,8.412101331158962e-4
American Avocet,2018-11-16,4.63334895926615e-4
American Avocet,2018-11-23,0
American Avocet,2018-11-30,0
American Avocet,2018-12-07,0
American Avocet,2018-12-14,0
American Avocet,2018-12-21,0
American Avocet,2018-12-28,0
Snowy Plover,2018-01-04,0
Snowy Plover,2018-01-11,0
Snowy Plover,2018-01-18,0
